Indicator,Disaggregations,Number of disaggregations
#1-2-1,"age, sex, region",3
#1-a-2,essential service,1
#10-2-1,"age, sex",2
#11-6-2,size of particulate4 matter,1
#12-2-2,material type,1
#12-a-1,energy source,1
#15-5-1,index,1
#16-1-4,"data.sex, data.age",2
#17-1-1,source,1
#17-11-1,countrygroup,1
#17-12-1,type of product,1
#17-6-1,bandwidth,1
#3-3-1,sex,1
#3-4-1,"sex, diseases",2
#3-a-1,sex,1
#3-c-1,occupation,1
#4-1-2,"sex, education",2
#4-2-2,sex,1
#5-4-1,"age, sex",2
#5-5-1,party,1
#5-5-2,"position, public/private",2
#7-2-1,renewable energy source,1
#7-b-1,energy source,1
#8-4-2,material type,1
#8-5-2,"age, sex",2
#8-6-1,"age, sex",2
#8-8-1,"sex, outcome",2
#9-4-1,source,1
